date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ,quận,phường

23/10/2020,/files/properties/2020/10/23/thumbnails/20201023_111832_179874_0.jpg,NULL,25,3,NULL,112, ---, _,27.0,"Đường Nguyễn Duy Trinh, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Liệt

23/10/2020,/files/properties/2020/10/15/thumbnails/07131850-0224-ban-can-ho-chung-cu-quan-dong-da-gia-re.jpg,NULL,5,1,1,33, ---, _,850.0,"Phố Tây Sơn, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Ngã Tư Sở

23/10/2020,/files/properties/2020/10/23/thumbnails/0chi-tu-1-49-ty-nhan-nha-o-ngay-tai-chung-cu-cuoi-duong-giai-phong-gan-ben-xe-nuoc-ngam-.jpg,NULL,NULL,2,1,52, ---, _,1490.0,"Đường Trần Thủ Độ, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Quận Hoàng Mai,Phường Hoàng Liệt

23/10/2020,/files/properties/2020/10/21/thumbnails/07174028-2743-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,NULL,1,87," 10x8,7m", _,1400.0,"Đường Tố Hữu, Phường Dương Nội, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Dương Nội

23/10/2020,/files/properties/2020/10/20/thumbnails/20201020_040403_225418_0.jpg,NULL,NULL,NULL,NULL,108, ---, _,4104.0,"Đường Láng Hạ, Quận Đống Đa, Hà Nội",Quận Đống Đa,Đường Láng Hạ

23/10/2020,/files/properties/2020/10/23/thumbnails/07182366-5140-ban-can-ho-chung-cu-quan-thanh-xuan-chinh-chu.jpg,NULL,NULL,2,NULL,90, ---, _,2390.0,"Đường Nguyễn Tuân, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Đường Nguyễn Tuân

23/10/2020,/files/properties/2020/10/23/thumbnails/07182309-0151-ban-can-ho-chung-cu-quan-ba-dinh.jpg,NULL,45,5,1,350, ---, _,48000.0,"Phố Liễu Giai, Phường Ngọc Khánh, Quận Ba Đình, Hà Nội",Quận Ba Đình,Phường Ngọc Khánh

22/10/2020,/files/properties/2020/10/22/thumbnails/37065505-1929-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,16,2,1,76, ---, _,1700.0,"Đường Nguyễn Văn Lộc, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao

22/10/2020,/files/properties/2020/6/15/thumbnails/06348685-5846-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,3.0,8,2,NULL,48, 40x30m, Đông Nam,660.0,"Phố Phạm Ngọc Thạch, Phường Phương Liên, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Phương Liên

22/10/2020,/files/properties/2020/10/22/thumbnails/0ban-truc-tiep-chung-cu-b1-gan-bo-cong-an-pham-van-dong-bac-tu-liem-gia-re.jpg,3.0,8,2,1,45, 30x30m, Đông,700.0,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 2

22/10/2020,/files/properties/2020/8/21/thumbnails/06785893-0753-ban-can-ho-chung-cu-ha-noi.jpg,NULL,NULL,3,NULL,94, ---, _,1880.0,"Đường Hồ Tùng Mậu, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Cầu Diễn

22/10/2020,/files/properties/2019/6/12/thumbnails/20190612_120912_4579603_0.jpg,3.0,5,15,NULL,102, ---, Đông Bắc,5250.0,"Đường Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Thanh Xuân Nam

22/10/2020,/files/properties/default.jpg,NULL,21,119,NULL,119, ---, _,5500.0,"Đường Xuân La, Phường Xuân Tảo, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Tảo

22/10/2020,/files/properties/2020/9/26/thumbnails/07004436-1129-ban-can-ho-chung-cu-quan-bac-tu-liem.jpg,NULL,7,1,NULL,35, ---, Tây Nam,670.0,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh

22/10/2020,/files/properties/2020/6/15/thumbnails/0mo-ban-chung-cu-mini-vong-thi-ho-tay-33-50m2-ngo-2-lan-o-to-chi-hon-650-trieu-can.jpg,NULL,5,2,NULL,48, ---, _,850.0,"Phố Võng Thị, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Quận Tây Hồ,Phường Thụy Khuê

22/10/2020,/files/properties/2020/8/20/thumbnails/06775958-3635-ban-can-ho-chung-cu-ha-noi.jpg,NULL,5,2,NULL,32, ---, _,700.0,"Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Quan Hoa

22/10/2020,/files/properties/default.jpg,NULL,NULL,NULL,1,50000, ---, _,600000.0,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê

21/10/2020,/files/properties/2020/10/21/thumbnails/07173265-5809-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,2,1,1,33, ---, _,565.0,"Đường Thụy Phương, Phường Thụy Phương, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Thụy Phương

21/10/2020,/files/properties/2020/10/21/thumbnails/0chinh-chu-ban-chung-cu-nga-tu-so-ton-that-tung-dai-hoc-y-30-50m2-view-ho.jpg,NULL,5,2,NULL,26, ---, _,550.0,"Đường Trường Chinh, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Khương Trung

21/10/2020,/files/properties/2020/10/21/thumbnails/07171833-3003-ban-can-ho-chung-cu-quan-bac-tu-liem.jpg,2.0,7,11,1,52, ---, _,6900.0,"Đường Phú Diễn, Phường Phú Diễn, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Phú Diễn

21/10/2020,/files/properties/2020/10/21/thumbnails/07171295-4612-ban-can-ho-chung-cu-quan-bac-tu-liem-chinh-chu.jpg,NULL,12,3,NULL,90, ---, _,2800.0,"Đường Hoàng Quốc Việt, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 1

21/10/2020,/files/properties/2020/9/17/thumbnails/20200917_051111_591534_1.jpg,NULL,20,3,NULL,121, ---, Đông Nam,3439.0,"Đường Phạm Văn Đồng, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Cổ Nhuế 2

21/10/2020,/files/properties/2020/10/21/thumbnails/07169347-5608-ban-can-ho-chung-cu-quan-dong-da-chinh-chu.jpg,NULL,6,1,1,30, ---, _,550.0,"Phố Tây Sơn, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội",Quận Đống Đa,Phường Quốc Tử Giám

21/10/2020,/files/properties/2019/12/13/thumbnails/20191213_034516_521315_2.jpg,NULL,5,3,1,122, ---, _,4148.0,"Đường Vũ Phạm Hàm, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Yên Hòa

19/10/2020,/files/properties/2020/10/18/thumbnails/07150856-4211-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,14,4,NULL,206, ---, _,4120.0,"Phố Hạ Đình, Phường Hạ Đình, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Hạ Đình

19/10/2020,/files/properties/2020/10/19/thumbnails/07156086-5957-ban-can-ho-chung-cu-ha-noi.jpg,NULL,28,3,1,99, ---, _,4100.0,"Đường Nguyễn Hoàng Tôn, Phường Xuân Đỉnh, Quận Bắc Từ Liêm, Hà Nội",Quận Bắc Từ Liêm,Phường Xuân Đỉnh

23/10/2020,/files/properties/2020/9/20/thumbnails/06963022-0607-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,19,3,NULL,115, ---, _,2150.0,"Đường Phạm Hùng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Quận Nam Từ Liêm,Phường Mỹ Đình 2

23/10/2020,/files/properties/2020/9/3/thumbnails/06853054-1431-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,7.0,4,6,1,205," 10x20,5m", _,15000.0,"Đường Phúc La - Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Phú La

23/10/2020,/files/properties/2020/10/23/thumbnails/07186881-2026-ban-can-ho-chung-cu-quan-hai-ba-trung-chinh-chu.jpg,NULL,NULL,2,NULL,30, ---, _,2700.0,"Đường Hòa Bình 7, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội",Quận Hai Bà Trưng,Phường Minh Khai

23/10/2020,/files/properties/2020/10/23/thumbnails/07186841-1629-ban-can-ho-chung-cu-ha-noi-chinh-chu.jpg,NULL,35,3,1,98, ---, Tây Bắc,1850.0,"Đường Tố Hữu, Phường La Khê, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường La Khê

23/10/2020,/files/properties/2020/9/28/thumbnails/20200928_113139_433878_0.jpg,8.0,1,3,NULL,94, ---, _,3300.0,"Đường Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Trung Hòa

23/10/2020,/files/properties/2020/10/14/thumbnails/07127047-4130-ban-can-ho-chung-cu-ha-noi-gia-re.jpg,NULL,NULL,2,NULL,46," 6x7,7m", Đông Bắc,3300.0,"Phố Tông Đản, Phường Tràng Tiền, Quận Hoàn Kiếm, Hà Nội",Quận Hoàn Kiếm,Phường Tràng Tiền

23/10/2020,/files/properties/2020/9/7/thumbnails/06875213-0643-ban-can-ho-chung-cu-quan-cau-giay-gia-re.jpg,10.0,1,3,NULL,138, ---, _,3588.0,"Đường Nguyễn Phong Sắc, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Nghĩa Đô

23/10/2020,/files/properties/2020/9/11/thumbnails/06910084-3925-ban-can-ho-chung-cu-quan-cau-giay.jpg,NULL,6,3,NULL,116, ---, _,6150.0,"Đường Xuân Thủy, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Hà Nội",Quận Cầu Giấy,Phường Dịch Vọng Hậu

23/10/2020,/files/properties/2020/9/14/thumbnails/06921480-4237-ban-can-ho-chung-cu-ha-noi.jpg,NULL,27,3,NULL,146, ---, _,3358.0,"Đường Khuất Duy Tiến, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Quận Thanh Xuân,Phường Nhân Chính

23/10/2020,/files/properties/2020/9/14/thumbnails/06922433-0115-ban-can-ho-chung-cu-ha-noi.jpg,NULL,8,4,NULL,202, ---, _,3800.0,"Đường Mỗ Lao, Phường Mộ Lao, Quận Hà Đông, Hà Nội",Quận Hà Đông,Phường Mộ Lao

