date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ
Hôm nay,/files/properties/2020/9/21/thumbnails/20200921_115435_6968721_0.jpg,NULL,5 lầu,NULL,NULL, 30 m vuông, ---, Đông Bắc, 4 tỷ ,"Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07038886-0111-ban-dat-tho-cu-dat-o-ha-noi-gia-re.jpg,6m,NULL,NULL,NULL, 104 m vuông, 5x21m, Đông Bắc, 1 tỷ ,"Đại lộ Thăng Long, Xã Tân Xã, Huyện Thạch Thất, Hà Nội"
Hôm nay,/files/properties/2019/6/6/thumbnails/20190606_092958_4549363_0.jpg,6m,NULL,NULL,NULL, 300 m vuông, ---, _," 3,8 tỷ ","Xã Tiến Xuân, Huyện Thạch Thất, Hà Nội"
Hôm nay,/files/properties/2020/6/30/thumbnails/04649026-0708-ban-dat-tho-cu-dat-o-ha-noi-gia-re.jpg,12m,NULL,NULL,NULL, 3.500 m vuông, ---, _," 8,75 tỷ ","Xã Tiến Xuân, Huyện Thạch Thất, Hà Nội"
Hôm nay,/files/properties/2020/8/11/thumbnails/06722961-0834-ban-dat-tho-cu-dat-o-ha-noi-gia-re.jpg,6m,NULL,NULL,NULL, 2.100 m vuông, ---, _," 10,5 tỷ ","Tỉnh lộ 419, Xã Tân Xã, Huyện Thạch Thất, Hà Nội"
Hôm nay,/files/properties/2020/8/21/thumbnails/06781316-5233-ban-dat-tho-cu-dat-o-huyen-thach-that-chinh-chu.jpg,5m,NULL,NULL,NULL, 2.684 m vuông, ---, _, 3 tỷ ,"Xã Yên Trung, Huyện Thạch Thất, Hà Nội"
Hôm nay,/files/properties/2020/10/1/thumbnails/07034031-5609-ban-nha-trong-hem-quan-cau-giay-gia-re.jpg,5m,5 lầu,6 phòng ngủ,chỗ để xe, 60 m vuông," 3,8x16m", _," 6,9 tỷ ","Phố Doãn Kế Thiện, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07022190-2311-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,4 lầu,4 phòng ngủ,chỗ để xe, 55 m vuông," 4,2x13m", _," 5,5 tỷ ","Đường Nguyễn Thị Định, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07022223-3233-ban-nha-trong-hem-ha-noi.jpg,3m,5 lầu,6 phòng ngủ,chỗ để xe, 58 m vuông, 4x14m, _," 5,8 tỷ ","Đường Vũ Trọng Phụng, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/30/thumbnails/0hang-hot-nga-tu-so-khu-vip-dong-da-mat-ngo-kinh-doanh-gan-pho-33m-5t-gia-3-3-ty.jpg,3m,5 lầu,3 phòng ngủ,chỗ để xe, 33 m vuông," 3,3x10m", _," 3,3 tỷ ","Đường Láng, Phường Ngã Tư Sở, Quận Đống Đa, Hà Nội"
